release,commit,patch_name,priority,comments
unreleased,b10a51be25c2,smb client: fix bug with newly created file in cached dir,,
unreleased,9f338c8471a0,cifs: client: force multichannel=off when max_channels=1,,
unreleased,79ff37206891,smb: client: remove unused fid_lock,,
unreleased,68c922e53ec4,smb: client: remove pointless cfid->has_lease check,,
unreleased,c27bd38cd081,smb: client: update cfid->last_access_time in open_cached_dir_by_dentry(),,
unreleased,6370048f4d68,smb: client: short-circuit negative lookups when parent dir is fully cached,,
unreleased,53cc35c4a3ab,smb: client: short-circuit in open_cached_dir_by_dentry() if !dentry,,
unreleased,cb554a44fd13,smb: client: ensure open_cached_dir_by_dentry() only returns valid cfid,,
unreleased,3e3afd642e06,smb: client: batch SRV_COPYCHUNK entries to cut roundtrips,,
unreleased,a50843f86420,smb: client: cap smb directory cache memory via module parameter,,
unreleased,8e2727c92921,smb: client: account smb directory cache usage and per-tcon totals,,
unreleased,645b07fa68f5,smb: client: show lease state as R/H/W (or NONE) in open_files,,
unreleased,cfcf4725d2f7,smb: client: add drop_dir_cache module parameter to invalidate cached dirents,,
unreleased,998a67b95468,smb: client: fix crypto buffers in non-linear memory,,
unreleased,8e979aab34d7,smb: Use arc4 library instead of duplicate arc4 code,,
unreleased,02696ac09065,smb: client: add tcon information to smb2_reconnect() debug messages,,
unreleased,2dad0b15bbe8,smb: client: let smbd_post_send_iter() call ib_dma_map_single() for the header first,,
unreleased,c4709e61ef25,smb: client: defer calling ib_alloc_pd() after we are connected,,
unreleased,17a6bc60f47b,smb: client: allocate smbdirect workqueue at the beginning of _smbd_get_connection(),,
unreleased,a437c9cebcc3,"smb: client: make consitent use of spin_lock_irq{save,restore}() in smbdirect.c",,
unreleased,1b128ec1c76d,"smb: client: let smbd_{destroy,disconnect_rdma_{work,connection}}() wake up all wait queues",,
unreleased,0cb7ed37af61,smb: client: let smbd_disconnect_rdma_connection() disable all work but disconnect_work,,
unreleased,98a1cdca35ea,smb: client: fill in smbdirect_socket.first_error on error,,
unreleased,ffbfc73e84eb,smb: client: let smbd_disconnect_rdma_connection() set SMBDIRECT_SOCKET_ERROR...,,
unreleased,114347dad6e7,smb: client: remove unused struct smbdirect_socket argument of smbd_iter_to_mr(),,
unreleased,4c4b1d1122fb,smb: client: pass struct smbdirect_socket to get_mr(),,
unreleased,2c6b999a9098,smb: client: pass struct smbdirect_socket to smbd_negotiate(),,
unreleased,c612e60de5aa,smb: client: pass struct smbdirect_socket to smbd_post_send_negotiate_req(),,
unreleased,0a5dc5fc7c01,smb: client: pass struct smbdirect_socket to smbd_ia_open(),,
unreleased,2569536b0c69,smb: client: pass struct smbdirect_socket to smbd_create_id(),,
unreleased,94a0e794b77f,smb: client: pass struct smbdirect_socket to smbd_qp_async_error_upcall(),,
unreleased,e3f095cca656,smb: client: pass struct smbdirect_socket to smbd_conn_upcall(),,
unreleased,05bd1378c821,smb: client: pass struct smbdirect_socket to smbd_post_send_full_iter(),,
unreleased,d76e8c7f546b,smb: client: pass struct smbdirect_socket to smbd_post_send_empty(),,
unreleased,46b8fe2bd18c,smb: client: pass struct smbdirect_socket to smbd_post_send_iter(),,
unreleased,8cead970e37c,smb: client: pass struct smbdirect_socket to manage_keep_alive_before_sending(),,
unreleased,8a9919b2bf81,smb: client: pass struct smbdirect_socket to smbd_post_send(),,
unreleased,869bb7284fb2,smb: client: pass struct smbdirect_socket to manage_credits_prior_sending(),,
unreleased,be8602d47d41,smb: client: pass struct smbdirect_socket to smbd_post_recv(),,
unreleased,c7e4d5facb47,smb: client: pass struct smbdirect_socket to smbd_disconnect_rdma_connection(),,
unreleased,a8a45d4c9597,"smb: client: pass struct smbdirect_socket to {allocate,destroy}_mr_list()",,
unreleased,419fc78fd81f,"smb: client: pass struct smbdirect_socket to {enqueue,_get_first}_reassembly()",,
unreleased,b8a5d5d1aa00,"smb: client: pass struct smbdirect_socket to {allocate,destroy}_caches_and_workqueue()",,
unreleased,163e0ff8c6e1,"smb: client: pass struct smbdirect_socket to {allocate,destroy}_receive_buffers()",,
unreleased,f6de7482b429,"smb: client: pass struct smbdirect_socket to {get,put}_receive_buffer()",,
unreleased,02e6f092c7aa,smb: client: make use of smbdirect_socket.mr_io,,
unreleased,9a52e3b0d63f,smb: client: make use of smbdirect_socket_parameters.max_frmr_depth,,
unreleased,f454f36cd0b9,smb: client: make use of struct smbdirect_mr_io,,
unreleased,5f84b0819a7e,smb: client: add and use smbd_get_parameters(),,
unreleased,40212a27c75f,smb: client: make use of smbdirect_socket.workqueue,,
unreleased,a8efb796db30,smb: client: move rdma_readwrite_threshold from smbd_connection to TCP_Server_Info,,
unreleased,ddfcb069c1dd,smb: client: make use of smbdirect_socket.statistics,,
unreleased,2449c7cc9bc2,smb: client: remove unused smbd_connection.count_reassembly_queue,,
unreleased,87d03d6c829a,smb: client: remove unused smbd_connection->protocol,,
unreleased,4dc536a135e0,"smb: client: make use of smbdirect_socket.idle.{keepalive,immediate_work,timer_work}",,
unreleased,ac31755c7a64,smb: client: fix smbdirect keep alive handling to match the documentation,,
unreleased,1b2c46cdb7c0,smb: client: send empty packets via send_immediate_work,,
unreleased,ea5a4e31ab47,smb: client: make use of smbdirect_socket.rdma.legacy_iwarp,,
unreleased,dd53b45fc871,"smb: client: make use of smbdirect_socket_parameters.{initiator_depth,responder_resources}",,
unreleased,1f2ff73a2330,"smb: client: make use of smbdirect_socket_parameters.{resolve_{addr,route},rdma_connect,negotiate}_timeout_msec",,
unreleased,14b6088dd97b,smb: client: fill smbdirect_socket_parameters at the beginning and use the values from there,,
unreleased,d3e743b514c2,smb: client: remove useless smbd_connection.send_immediate,,
unreleased,c7316ec2d542,"smb: client: make use of smbdirect_socket.recv_io.{posted,credits}",,
unreleased,5fb9b459b368,smb: client: count the number of posted recv_io messages in order to calculated credits,,
unreleased,9219f8cac296,smb: client: limit the range of info->receive_credit_target,,
unreleased,1a07031fdd56,smb: client: remove info->wait_receive_queues handling in smbd_destroy(),,
unreleased,a8e970358b31,smb: client: make use of ib_wc_status_msg() and skip IB_WC_WR_FLUSH_ERR logging,,
unreleased,02548c477a90,smb: client: queue post_recv_credits_work also if the peer raises the credit target,,
unreleased,b0aa92a229ab,smb: client: make sure smbd_disconnect_rdma_work() doesn't run after smbd_destroy() took over,,
unreleased,9b1a6b7583cb,"smb: client: make use of smbdirect_socket.send_io.credits.{count,wait_queue}",,
unreleased,ca48841de93c,"smb: client: make use of smbdirect_socket.send_io.pending.{count,{dec,zero}_wait_queue}",,
unreleased,a51c67db2c9e,smb: client: make use of smbdirect_socket.disconnect_work,,
unreleased,7360778b6f96,smb: client: make use of smbdirect_socket_init(),,
unreleased,5a0d5ae65c12,smb: client: make only use of wake_up[_all]() in smbdirect.c,,
unreleased,d9140ef07423,smb: client: make use of smbdirect_socket.status_wait,,
unreleased,4ff3fa4e4aa7,"smb: client: use status_wait and SMBDIRECT_SOCKET_RESOLVE_{ADDR,ROUTE}_RUNNING for completion",,
unreleased,00e4c7a87d1f,smb: client: use status_wait and SMBDIRECT_SOCKET_NEGOTIATE_RUNNING for completion,,
unreleased,afff34dc025b,smb: client: adjust smbdirect related output of cifs_debug_data_proc_show(),,
unreleased,f5b893edde7b,smb: smbdirect: introduce smbdirect_socket.first_error,,
unreleased,cc678b8a8929,smb: client/smbdirect: introduce SMBDIRECT_SOCKET_ERROR,,
unreleased,58dfba8a2d4e,smb: client/smbdirect: replace SMBDIRECT_SOCKET_CONNECTING with more detailed states,,
unreleased,ef71f1e04648,smb: client: fix sending the iwrap custom IRD/ORD negotiation messages,,
unreleased,6920b4ad49fc,smb: smbdirect: let smbdirect_socket_init() initialize all [delayed_]work_structs as disabled,,
unreleased,ed3350f09d2c,smb: smbdirect: introduce smbdirect_socket.mr_io.*,,
unreleased,41e5086905a3,smb: smbdirect: introduce smbdirect_socket_parameters.max_frmr_depth,,
unreleased,02c39c0121d2,smb: smbdirect: introduce struct smbdirect_mr_io,,
unreleased,6c5b0f9253d7,smb: smbdirect: introduce smbdirect_socket.workqueue,,
unreleased,6889d2f5caa6,smb: smbdirect: introduce smbdirect_socket.statistics,,
unreleased,89bae05f9df6,"smb: smbdirect: introduce smbdirect_socket.idle.{keepalive,immediate_work,timer_work}",,
unreleased,2baedb2026a5,smb: smbdirect: introduce smbdirect_socket.rdma.legacy_iwarp,,
unreleased,8e34a763870d,"smb: smbdirect: introduce smbdirect_socket_parameters.{initiator_depth,responder_resources}",,
unreleased,932fa15c3726,"smb: smbdirect: introduce smbdirect_socket_parameters.{resolve_{addr,route},rdma_connect,negotiate}_timeout_msec",,
unreleased,ec76e3cc6bbc,"smb: smbdirect: introduce smbdirect_socket.recv_io.{posted,credits}",,
unreleased,b5a4242fb902,smb: smbdirect: introduce struct smbdirect_rw_io,,
unreleased,90255ed46774,smb: smbdirect: introduce smbdirect_socket.rw_io.credits,,
unreleased,cce93d2d0ccc,smb: smbdirect: introduce struct smbdirect_send_batch,,
unreleased,2191b3471df5,"smb: smbdirect: introduce smbdirect_socket.send_io.credits.{count,wait_queue}",,
unreleased,3b7be44a0eb1,"smb: smbdirect: introduce smbdirect_socket.send_io.pending.{count,{dec,zero}_wait_queue}",,
unreleased,de32f33c0365,smb: smbdirect: introduce smbdirect_socket.disconnect_work,,
unreleased,17e1d07430e4,smb: smbdirect: introduce smbdirect_socket_init(),,
unreleased,371d3ab51ce4,smb: smbdirect: introduce smbdirect_socket.status_wait,,
unreleased,1e2f487584ed,smb: smbdirect: introduce smbdirect_socket_status_string(),,
v6.17,fbe2dc6a9c73,smb: client: fix wrong index reference in smb2_compound_op(),,
v6.17,1cf9f2a6a544,smb: client: handle unlink(2) of files open by different clients,,
unreleased,69635d7f4b34,fs: WQ_PERCPU added to alloc_workqueue users,,
v6.17,daac51c70320,smb: client: fix smbdirect_recv_io leak in smbd_negotiate() error path,,
v6.17,251090e2c2c1,smb: client: fix file open check in __cifs_unlink(),,
v6.17,d9dcbbcf9145,smb: client: let smbd_destroy() call disable_work_sync(&info->post_send_credits_work),,
v6.17,bac28f604c76,smb: client: use disable[_delayed]_work_sync in smbdirect.c,,
v6.17,93ed9a295130,smb: client: fix filename matching of deferred files,,
v6.17,f57e53ea2523,"smb: client: let recv_done verify data_offset, data_length and remaining_data_length",,
unreleased,f99b3917789d,fs: rename generic_delete_inode() and generic_drop_inode(),,
v6.17,c5ea3065586d,smb: client: fix data loss due to broken rename(2),,
v6.17,90f7c100d2dd,smb: client: fix compound alignment with encryption,,
v6.17,70bccd9855da,cifs: prevent NULL pointer dereference in UTF16 conversion,,
v6.17,91be128b496c,smb: client: show negotiated cipher in DebugData,,
v6.17,72595cb6da18,smb: client: add new tracepoint to trace lease break notification,,
v6.17,0c3813d855b2,smb: client: fix spellings in comments,,
unreleased,37b27bd5d621,fs: add an icount_read helper,,
v6.17,6976c7a69daf,smb: client: Fix NULL pointer dereference in cifs_debug_dirs_proc_show(),,
v6.17,ab529e6ca1f6,fs/smb: Fix inconsistent refcnt update,,
v6.17,0e08fa789d39,smb3 client: fix return code mapping of remap_file_range,,
v6.17,453a6d2a68e5,cifs: Fix oops due to uninitialised variable,,
v6.17,e19d8dd694d2,smb: client: remove redundant lstrp update in negotiate protocol,,
v6.17,e3f776d30a56,cifs: update internal version number,,
v6.17,8c48e1c75203,smb: client: don't wait for info->send_pending == 0 on error,,
